Symbol,Date,Open,High,Low,Close,Volume
TSLA,29-Apr-2019,235.86,243.98,232.17,241.47,16710600
TSLA,30-Apr-2019,242.06,244.21,237,238.69,9460900
TSLA,01-May-2019,238.85,240,231.5,234.01,10701700
TSLA,02-May-2019,244.75,247.13,237.72,244.1,18148200
TSLA,03-May-2019,243.86,256.61,243.49,255.03,23702600
TSLA,06-May-2019,250.02,258.3499,248.5,255.34,10833900
TSLA,07-May-2019,256.8,257.21,245.1,247.06,10125400
TSLA,08-May-2019,246.94,250.6,244.2,244.84,6171700
TSLA,09-May-2019,242,243.68,236.94,241.98,6709500
TSLA,10-May-2019,239.75,241.99,236.02,239.52,7006200
TSLA,13-May-2019,232.01,232.47,224.5,227.01,10830100
TSLA,14-May-2019,229.3,234.5,228,232.31,7247800
TSLA,15-May-2019,229.32,232.44,225.25,231.95,7292500
TSLA,16-May-2019,229.49,231,226.5,228.33,7471800
TSLA,17-May-2019,221.96,222.24,208.92,211.03,17772400
TSLA,20-May-2019,202.8,206,195.25,205.36,20515800
TSLA,21-May-2019,199.5,207.4,196.04,205.08,17992400
TSLA,22-May-2019,199.1,203.94,191.78,192.73,18668100
TSLA,23-May-2019,186.98,199.46,186.22,195.49,26541700
TSLA,24-May-2019,199.83,199.98,188.75,190.63,14132500
TSLA,27-May-2019,190.63,190.63,190.63,190.63,0
TSLA,28-May-2019,191.2,195,187.85,188.7,10306400
TSLA,29-May-2019,187.1,192.39,185.0401,189.86,11968600
TSLA,30-May-2019,188.75,192.26,187.02,188.4,7911400
TSLA,31-May-2019,185.1,189.9204,184.1,185.16,10406700
TSLA,03-Jun-2019,185.51,186.68,176.99,178.97,13059200
TSLA,04-Jun-2019,181.1,193.98,179.61,193.6,13802500
TSLA,05-Jun-2019,198.68,201.2782,191.8486,196.59,13510700
TSLA,06-Jun-2019,204.44,211,201.8,205.95,20237300
TSLA,07-Jun-2019,205,210.8438,203.499,204.5,16003500
TSLA,10-Jun-2019,210.25,216.94,209.01,212.88,10577500
TSLA,11-Jun-2019,219.14,220.9,213.5,217.1,11653500
TSLA,12-Jun-2019,222.95,223.38,209,209.26,15191800
TSLA,13-Jun-2019,210.38,214.9,207.51,213.91,8159900
TSLA,14-Jun-2019,211.25,216.65,210.4,214.92,7433400
TSLA,17-Jun-2019,215.48,227,214.27,225.03,12311900
TSLA,18-Jun-2019,228.72,234.74,222.56,224.74,12715700
TSLA,19-Jun-2019,225.11,227.77,221.06,226.43,6570000
TSLA,20-Jun-2019,223,226.9,216.35,219.62,11863400
TSLA,21-Jun-2019,216.22,222.18,215.5,221.86,8200500
TSLA,24-Jun-2019,223.24,225.86,221.02,223.64,5750700
TSLA,25-Jun-2019,224.39,225.34,219.49,219.76,6182000
TSLA,26-Jun-2019,220.31,227.23,218.1,219.27,8507200
TSLA,27-Jun-2019,219.45,222.9,217.35,222.84,6339700
